20172013,789,842,932,989,989
20170490,787,834,936,985,985
20170862,786,831,933,988,988
20170371,789,829,931,984,984
20170293,783,833,932,983,983
20170825,789,831,921,986,986
20172007,775,834,928,985,985
20170253,778,831,929,984,984
20170251,778,826,929,986,986
20170855,770,830,930,986,986
20172038,779,827,925,985,985
20170860,782,820,926,987,987
20170632,792,819,924,979,979
20172123,761,831,931,988,988
20170366,779,832,917,983,983
20170828,788,833,919,971,971
20170579,780,825,932,973,973
20170808,789,831,920,969,969
20172020,786,834,913,973,973
20170323,784,833,919,968,968
20172071,783,823,918,979,979
20170455,782,816,931,974,974
20170682,780,820,931,972,972
20172113,771,823,925,983,983
20170846,779,829,926,968,968
20170848,785,814,931,971,971
20170297,779,823,916,982,982
20170863,772,814,926,987,987
20170340,776,827,919,977,977
20170089,787,825,916,971,971
20172074,761,831,924,981,981
20172111,781,823,922,969,969
20172072,773,813,927,981,981
20170302,784,828,920,961,961
20170375,776,823,921,972,972
20170250,777,821,923,968,968
20170471,766,820,918,984,984
20172104,775,828,914,971,971
20170645,783,828,913,964,964
20170668,769,818,922,978,978
20170871,776,817,925,967,967
20170284,757,823,932,972,972
20170572,770,820,915,978,978
20170819,776,811,926,970,970
20170234,776,829,900,976,976
20170361,777,817,925,962,962
20170254,774,814,925,966,966
20170376,768,805,930,974,974
20172016,765,827,911,972,972
20170626,774,813,915,972,972
20170380,777,829,909,959,959
20170468,767,800,922,984,984
20170437,778,805,918,972,972
20170900,766,819,921,967,967
20170139,768,814,919,971,971
20170614,761,813,929,966,966
20172087,760,813,919,976,976
20170010,779,809,908,972,972
20170818,763,807,928,969,969
20170907,767,824,926,950,950
20170232,781,809,910,966,966
20170561,767,816,906,976,976
20170878,773,805,919,965,965
20170529,772,808,915,965,965
20170050,780,805,903,971,971
20170093,765,816,923,953,953
20170631,783,824,899,951,951
20170720,772,809,904,971,971
20170023,761,813,916,965,965
20170442,753,796,927,978,978
20170237,749,806,923,975,975
20170489,764,815,910,964,964
20172065,753,816,916,965,965
20170802,750,809,917,973,973
20170723,740,806,932,970,970
20172122,750,819,912,967,967
20170785,749,823,917,959,959
20172008,743,811,920,973,973
20172112,758,818,902,969,969
20170265,767,808,905,966,966
20172093,765,810,915,956,956
20170098,776,811,907,951,951
20170208,775,795,929,946,946
20170899,753,818,901,972,972
20172047,756,813,910,965,965
20170727,758,789,921,975,975
20172029,766,819,898,960,960
20170287,774,780,906,981,981
20170854,718,813,925,984,984
20170196,771,802,911,956,956
20170909,775,800,916,949,949
20170330,775,819,919,927,927
20172085,769,805,914,951,951
20170321,770,807,915,945,945
20170309,761,805,919,950,950
20170783,730,802,925,974,974
20170886,760,795,914,961,961
20170735,773,794,901,961,961
20170587,742,802,919,964,964
20170479,774,787,902,964,964
20170271,771,787,911,958,958
20172014,757,812,905,953,953
20170835,767,812,897,951,951
20170833,777,815,880,954,954
20172118,739,798,908,979,979
20170079,759,787,899,979,979
20170578,757,789,912,966,966
20170262,737,799,916,971,971
20172078,741,814,909,959,959
20170339,745,809,919,950,950
20170824,761,793,896,972,972
20170365,726,812,922,962,962
20170482,767,777,916,961,961
20170351,758,791,912,960,960
20170870,768,807,896,950,950
20170509,773,782,903,962,962
20170478,749,781,917,972,972
20170540,754,797,908,959,959
20170521,770,782,913,952,952
20170260,765,795,911,946,946
20170458,767,803,895,951,951
20170732,746,802,901,966,966
20170706,741,807,903,964,964
20170017,765,800,905,945,945
20170063,761,813,898,943,943
20170441,749,800,893,972,972
20170315,745,800,915,954,954
20170459,779,810,891,933,933
20172037,732,809,906,965,965
20170151,774,775,895,966,966
20170610,751,780,913,965,965
20170517,775,776,899,958,958
20170432,768,797,892,951,951
20170609,754,786,912,955,955
20172054,739,806,902,959,959
20170611,743,795,925,943,943
20170128,765,782,900,956,956
20170831,770,790,891,952,952
20172027,745,811,894,952,952
20170172,734,796,920,952,952
20172106,762,798,913,929,929
20172114,733,793,915,960,960
20170542,768,786,899,948,948
20172033,767,785,894,954,954
20170322,756,781,908,952,952
20172080,748,779,909,960,960
20170850,738,805,914,939,939
20170821,763,777,897,957,957
20170487,728,785,904,976,976
20170194,736,793,897,967,967
20170013,753,773,904,962,962
20172069,760,805,886,939,939
20171183,748,774,912,955,955
20170861,762,766,922,939,939
20172062,756,796,890,945,945
20170160,777,788,884,938,938
20170146,764,797,880,945,945
20170088,780,790,858,957,957
20170312,748,810,880,947,947
20170503,764,747,900,972,972
